Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2025-01-01 00:00:00,2.56,2.2,20.3,22.5,23.0,239.0,32.974,700.08,0.0,51.0,7.1,,17.18,4.7,196.0
2025-01-01 06:00:00,1.86,3.8,15.1,18.8,11.0,73.0,14.51,703.4,0.0,74.0,4.3,,11.21,1.9,17.0
2025-01-01 12:00:00,1.51,3.4,5.6,8.9,49.0,56.0,13.3,705.6,0.0,56.0,5.6,,18.65,12.2,114.0
2025-01-01 18:00:00,1.57,1.8,9.7,11.4,41.0,56.0,7.559999999999999,704.3,0.0,62.0,4.4,,17.8,15.0,99.0
2025-01-02 00:00:00,1.52,1.0,6.0,6.8,28.0,45.0,6.43,706.0,0.0,77.0,4.2,,13.86,13.7,135.0
2025-01-02 06:00:00,1.48,5.5,10.5,15.9,14.0,50.0,12.83,705.6,0.0,85.0,4.0,,12.99,4.6,68.0
2025-01-02 12:00:00,1.5,4.1,4.7,8.7,37.0,56.0,10.18,706.2,0.0,58.0,4.9,,19.8,6.9,49.0
2025-01-02 18:00:00,2.03,5.4,25.3,30.7,44.0,97.0,16.1,704.2,0.0,60.0,4.1,,19.85,10.8,111.0
2025-01-03 00:00:00,2.01,15.4,25.5,40.8,3.0,84.0,14.12,706.9,0.0,83.0,4.1,0.0,13.98,3.699999999999999,360.0
2025-01-03 06:00:00,2.01,23.4,16.3,39.6,3.0,88.0,19.47,706.2,0.0,85.0,4.0,0.0,10.81,5.6,302.0
2025-01-03 12:00:00,1.79,6.7,16.3,23.0,24.0,150.0,15.92,708.3,0.0,73.0,4.2,0.0,17.11,9.3,100.0
2025-01-03 18:00:00,1.69,1.9,13.8,15.6,35.0,60.0,9.89,705.9,0.0,62.0,4.5,0.0,18.82,13.4,96.0
2025-01-04 00:00:00,1.61,1.1,10.4,11.4,15.0,50.0,8.85,706.0,0.0,83.0,3.9,0.0,16.56,9.4,124.0
2025-01-04 06:00:00,2.850000000000001,12.9,19.4,32.2,3.0,74.0,15.97,703.8,0.0,81.0,4.0,0.0,15.7,3.699999999999999,157.0
2025-01-04 12:00:00,1.45,2.6,4.5,7.0,29.0,72.0,7.59,703.5,0.0,62.0,7.8,0.0,20.57,6.0,141.0
2025-01-04 18:00:00,2.06,3.0,23.1,26.1,50.0,88.0,16.96,700.0,0.0,61.0,5.2,0.0,21.19,11.2,96.0
2025-01-05 00:00:00,3.09,44.3,26.0,70.1,4.0,67.0,15.63,699.5,0.0,76.0,4.6,0.0,16.29,3.5,300.0
2025-01-05 06:00:00,1.53,1.9,12.9,14.8,12.0,52.0,8.98,697.8,0.0,72.0,3.8,0.0,15.35,17.5,288.0
2025-01-05 12:00:00,1.72,6.5,5.4,11.9,47.0,61.0,5.449999999999999,698.9,0.0,17.0,4.0,0.0,29.85,17.5,307.0
