Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2024-01-01 00:00:00,4.21,45.6,37.7,83.4,11.0,538.0,391.0,703.8,1.734723475976807e-18,50.0,5.9,0.0,13.72,2.3,309.0
2024-01-01 06:00:00,2.37,20.4,25.3,45.7,9.0,124.0,78.0,704.2,1.734723475976807e-18,44.0,4.8,0.0,13.01,2.400000000000001,284.0
2024-01-01 12:00:00,1.59,6.9,11.6,18.5,36.0,27.0,19.0,706.7,1.734723475976807e-18,30.0,7.3,0.304,20.65,4.5,91.0
2024-01-01 18:00:00,1.6,5.1,12.8,17.9,33.0,28.0,16.0,704.9,1.734723475976807e-18,53.0,5.1,0.01999999999999999,19.39,9.5,113.0
2024-01-02 00:00:00,1.44,3.1,9.1,12.2,32.0,27.0,19.0,704.8,1.734723475976807e-18,74.0,4.4,0.0,15.27,10.7,100.0
2024-01-02 06:00:00,1.43,3.0,8.1,11.0,24.0,16.0,9.079999999999998,703.9,1.734723475976807e-18,84.0,3.9,0.0,14.08,5.4,157.0
2024-01-02 12:00:00,1.72,13.7,18.2,31.9,16.0,39.0,31.0,703.6,1.734723475976807e-18,79.0,3.9,0.146,15.41,5.1,111.0
2024-01-02 18:00:00,1.91,15.9,32.1,48.0,10.0,59.0,49.0,701.1,1.734723475976807e-18,75.0,4.4,0.01400000000000001,15.96,4.7,91.0
2024-01-03 00:00:00,2.83,105.7,26.5,132.2,3.200000000000003,141.0,95.0,702.9,1.734723475976807e-18,81.0,4.8,0.078,13.02,0.5,316.0
2024-01-03 06:00:00,1.93,29.0,21.9,50.9,7.000000000000004,95.0,69.0,704.0,1.734723475976807e-18,92.0,4.1,0.0,11.07,2.6,149.0
2024-01-03 12:00:00,1.76,15.1,19.9,35.0,28.0,80.0,45.0,705.2,1.734723475976807e-18,62.0,4.2,0.447,16.77,4.0,73.0
2024-01-03 18:00:00,1.7,7.6,27.2,34.7,39.0,66.0,31.0,702.9,1.734723475976807e-18,51.0,4.9,0.02099999999999999,17.28,10.9,110.0
2024-01-04 00:00:00,1.45,3.9,12.1,16.0,33.0,35.0,19.0,704.0,1.734723475976807e-18,63.0,4.2,0.0,12.88,10.2,117.0
2024-01-04 06:00:00,1.45,3.799999999999999,15.4,19.1,17.0,37.0,25.148,702.5,1.734723475976807e-18,87.0,4.6,0.0,8.619999999999997,5.4,152.0
2024-01-04 12:00:00,1.72,18.0,18.8,36.7,13.0,55.0,44.0,701.8,1.734723475976807e-18,91.0,4.2,0.102,8.359999999999998,6.5,143.0
2024-01-04 18:00:00,1.83,14.7,26.5,41.2,11.0,43.0,35.0,698.4,1.734723475976807e-18,82.0,4.4,0.008000000000000007,9.99,5.6,146.0
2024-01-05 00:00:00,1.79,18.5,27.0,45.5,12.6,56.0,43.0,699.3,1.734723475976807e-18,81.0,4.4,0.0,11.94,2.2,338.0
2024-01-05 06:00:00,1.58,3.9,16.0,19.9,18.0,29.0,24.0,699.4,1.734723475976807e-18,71.0,4.3,0.0,11.51,5.2,223.0
2024-01-05 12:00:00,1.57,8.8,12.5,21.3,34.0,81.0,24.0,699.8,1.734723475976807e-18,44.0,4.9,0.441,17.95,8.7,324.0
2024-01-05 18:00:00,1.76,5.800000000000001,21.4,27.2,49.0,67.0,27.0,698.2,1.734723475976807e-18,42.0,4.4,0.01200000000000001,18.54,3.4,155.0
2024-01-06 00:00:00,2.52,64.0,38.3,102.3,8.0,93.0,50.0,699.5,1.734723475976807e-18,61.0,4.5,0.0,12.17,1.9,322.0
2024-01-06 06:00:00,2.03,76.3,29.2,105.6,8.0,127.0,68.0,698.6,1.734723475976807e-18,72.0,4.4,0.0,9.229999999999999,2.0,280.0
2024-01-06 12:00:00,1.64,9.9,16.3,26.3,43.0,107.0,25.0,700.6,1.734723475976807e-18,43.0,5.5,0.472,18.6,4.4,16.0
2024-01-06 18:00:00,2.01,7.3,33.9,41.3,44.0,76.0,42.0,700.4,1.734723475976807e-18,45.0,7.0,0.031,18.14,4.3,147.0
2024-01-07 00:00:00,3.04,80.1,46.5,126.6,8.0,142.0,80.0,703.5,1.734723475976807e-18,59.0,6.0,0.0,14.64,0.5999999999999996,122.0
2024-01-07 06:00:00,2.07,28.5,35.2,63.7,7.400000000000002,121.0,55.0,703.1,1.734723475976807e-18,70.0,4.8,0.0,12.34,1.000000000000001,89.0
