Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2021-01-01 00:00:00,3.47,10.16,9.0,19.16,,47.0,17.0,724.52,,74.0,6.1,0.0,6.620000000000001,8.9,151.0
2021-01-01 06:00:00,2.376,16.62,14.12,30.7,,31.0,15.0,722.5,,,6.1,0.0,4.120000000000001,1.399999999999999,203.0
2021-01-01 12:00:00,1.866,4.1,6.7,10.76,,38.0,7.0,723.7,,,6.7,0.369,10.44,3.7,149.0
2021-01-01 18:00:00,2.49,3.640000000000001,8.080000000000002,11.68,,33.0,18.0,723.4,,,11.2,0.012,11.28,5.6,117.0
2021-01-02 00:00:00,2.936,30.0,22.1,52.10000000000001,,52.0,29.0,724.6,,,7.3,0.001000000000000001,11.24,1.399999999999999,270.0
2021-01-02 06:00:00,2.778,9.5,15.1,24.58,,19.00000000000001,7.0,725.1,,,8.5,0.0,7.359999999999999,7.7,309.0
2021-01-02 12:00:00,2.8,6.239999999999999,9.7,15.9,,62.0,17.0,725.4,,,11.3,0.378,14.69,1.7,282.0
2021-01-02 18:00:00,2.056,4.120000000000001,14.86,18.96,,57.0,23.0,724.1,,,9.7,0.014,18.68,3.8,155.0
2021-01-03 00:00:00,2.794,20.42,14.6,35.02,,50.0,29.0,724.3,,,7.5,0.001000000000000001,10.27,1.399999999999999,114.0
2021-01-03 06:00:00,3.498,56.84,25.16,82.0,,78.0,32.0,724.1,,,6.8,0.001000000000000001,8.410000000000002,1.9,327.0
2021-01-03 12:00:00,2.144,8.419999999999998,17.0,25.42,,93.0,31.0,724.1,,,9.8,0.39,19.17,5.3,312.0
2021-01-03 18:00:00,2.96,4.16,7.14,11.26,,63.0,21.0,722.8,,,10.2,0.021,22.17,6.2,136.0
2021-01-04 00:00:00,3.79,172.6,35.8,208.36,,162.0,94.0,723.3,,,8.2,0.001000000000000001,13.43,1.399999999999999,298.0
2021-01-04 06:00:00,3.784,77.06,28.68,105.76,,77.0,46.0,722.9,,,8.0,0.001000000000000001,10.93,1.5,269.0
2021-01-04 12:00:00,1.372,7.26,13.16,20.42,,77.0,14.0,723.4,,,7.9,0.41,25.21,1.399999999999999,129.0
2021-01-04 18:00:00,1.252,4.56,5.6,10.16,,44.0,10.0,722.9,,,8.0,0.013,27.19,7.9,102.0
2021-01-05 00:00:00,2.968,120.86,30.12,150.96,,125.0,81.0,723.6,,,8.9,0.0,15.55,1.399999999999999,269.0
2021-01-05 06:00:00,3.316,31.88,21.24,53.12,,69.0,26.0,723.4,,,7.9,0.0,12.33,1.399999999999999,307.0
2021-01-05 12:00:00,3.23,5.160000000000001,8.2,13.4,,64.0,14.0,723.6,,,16.2,0.391,22.35,1.3,167.0
2021-01-05 18:00:00,1.252,4.16,5.14,9.339999999999998,,41.0,11.0,722.3,,,16.4,0.014,23.88,4.6,126.0
2021-01-06 00:00:00,3.72,9.600000000000001,11.52,21.08,,53.0,14.0,722.1,,,7.8,0.0,16.58,1.399999999999999,144.0
2021-01-06 06:00:00,3.82,24.12,14.46,38.54,,60.0,24.0,721.8,,,7.2,0.0,14.72,2.8,313.0
2021-01-06 12:00:00,4.1,13.34,15.94,29.32,,118.0,38.0,722.3,,,10.7,0.261,22.63,6.7,311.0
2021-01-06 18:00:00,3.58,14.48,17.16,31.64,,44.0,18.8,722.6,,,7.9,0.021,22.12,7.1,322.0
2021-01-07 00:00:00,3.61,16.24,13.2,29.42,,48.0,7.0,724.3,,,9.2,0.0,16.22,10.9,298.0
2021-01-07 06:00:00,3.9,37.90000000000001,20.42,58.27999999999999,,64.0,20.0,724.4,,,8.8,0.0,11.29,1.399999999999999,279.0
2021-01-07 12:00:00,3.72,1.579999999999998,4.659999999999999,6.239999999999998,,64.0,9.0,724.7,,,8.2,0.401,20.0,2.5,124.0
2021-01-07 18:00:00,3.64,3.32,7.98,11.26,,39.0,9.0,723.5,,,12.6,0.019,21.6,7.0,105.0
2021-01-08 00:00:00,4.61,7.239999999999999,11.62,18.86,,75.0,41.0,724.2,,,8.0,0.0,12.84,1.399999999999999,150.0
2021-01-08 06:00:00,4.1,14.54,13.38,27.86,,69.0,25.0,724.3,,,7.4,0.0,8.310000000000002,2.18,265.0
2021-01-08 12:00:00,3.62,1.4,3.84,5.180000000000003,,91.0,16.0,725.2,,,24.9,0.393,17.17,10.8,115.0
2021-01-08 18:00:00,3.61,3.66,8.58,12.22,,54.0,11.0,724.2,,,18.1,0.014,19.75,8.2,118.0
2021-01-09 00:00:00,3.49,3.540000000000001,7.88,11.4,,43.0,8.0,725.0,,,7.1,0.0,13.09,6.8,116.0
2021-01-09 06:00:00,3.49,3.82,9.58,13.36,,30.0,12.8,724.5,,,6.9,0.001000000000000001,9.71,1.399999999999999,124.0
2021-01-09 12:00:00,3.62,2.440000000000001,7.52,9.920000000000002,,25.0,5.0,725.0,,,6.8,0.03900000000000001,10.28,3.0,94.0
2021-01-09 18:00:00,3.9,3.800000000000001,7.86,11.64,,33.8,4.000000000000004,723.9,,,6.5,0.005000000000000004,9.86,4.9,123.0
2021-01-10 00:00:00,3.83,9.1,8.940000000000001,17.98,,35.4,10.0,723.6,,,6.4,0.001000000000000001,9.89,1.3,181.0
2021-01-10 06:00:00,3.87,24.88,14.5,39.36,,64.2,12.0,722.8,,,6.7,0.001000000000000001,9.98,1.7,321.0
2021-01-10 12:00:00,3.6,2.440000000000001,7.76,10.18,,54.6,5.0,723.7,,,7.2,0.225,12.81,12.8,333.0
2021-01-10 18:00:00,3.58,23.62,13.54,37.14,,50.6,16.0,724.5,,,6.9,0.018,9.81,12.3,330.0
2021-01-11 00:00:00,3.59,46.34000000000001,14.1,60.39999999999999,,40.2,8.0,726.4,,,6.7,0.001000000000000001,8.310000000000002,5.0,318.0
2021-01-11 06:00:00,3.59,18.84,10.32,29.14,,29.59999999999999,7.0,726.5,,,6.4,0.001000000000000001,5.530000000000001,10.2,329.0
2021-01-11 12:00:00,3.68,9.84,11.56,21.36,,29.8,10.0,727.2,,,6.4,0.122,6.34,6.3,315.0
2021-01-11 18:00:00,3.97,9.38,11.42,20.78,,68.0,27.0,726.0,,,7.2,0.008999999999999994,7.690000000000001,4.4,178.0
2021-01-12 00:00:00,3.66,8.88,10.68,19.52,,54.0,19.0,726.7,,,6.8,0.001000000000000001,6.91,1.399999999999999,198.0
2021-01-12 06:00:00,3.67,3.84,7.620000000000001,11.48,,36.0,24.0,726.2,,,7.1,0.001000000000000001,6.170000000000002,3.52,83.0
2021-01-12 12:00:00,3.7,8.88,10.68,19.52,,48.0,13.0,726.8,,,10.8,0.097,8.02,1.3,251.0
2021-01-12 18:00:00,3.91,2.74,8.379999999999999,11.12,,61.0,30.0,725.8,,,11.4,0.02199999999999999,9.49,1.399999999999999,118.0
2021-01-13 00:00:00,5.17,149.02,21.48,170.46,,111.0,75.0,726.1,,,7.6,0.001000000000000001,5.190000000000001,1.399999999999999,285.0
2021-01-13 06:00:00,4.58,142.94,21.74,164.68,,135.0,67.0,725.4,,,7.5,0.001000000000000001,3.740000000000002,1.399999999999999,215.0
2021-01-13 12:00:00,4.49,48.50000000000001,21.98,70.47999999999999,,189.0,64.0,725.2,,,10.3,0.386,15.47,1.3,133.0
2021-01-13 18:00:00,4.14,3.06,7.64,10.7,,58.0,23.0,723.5,,,8.4,0.021,19.64,8.0,142.0
2021-01-14 00:00:00,5.6,153.54,28.46,182.02,,190.0,87.0,723.5,,,8.1,0.001000000000000001,11.22,1.399999999999999,307.0
2021-01-14 06:00:00,4.42,71.82000000000001,24.16,95.97999999999999,,73.0,48.0,722.6,,,7.7,0.001000000000000001,8.749999999999998,1.5,274.0
2021-01-14 12:00:00,3.87,4.559999999999999,9.12,13.7,,105.0,21.0,722.5,,,9.3,0.376,23.7,6.0,81.0
2021-01-14 18:00:00,3.77,5.0,11.66,16.64,,55.2,12.0,721.7,,,9.3,0.02,28.44,9.9,169.0
2021-01-15 00:00:00,3.59,31.04,15.06,46.09999999999999,,95.0,13.0,723.6,,,7.4,0.001000000000000001,17.12,14.5,314.0
2021-01-15 06:00:00,3.9,16.66,18.12,34.76,,82.0,20.0,724.2,,,11.2,0.001000000000000001,12.67,4.8,280.0
2021-01-15 12:00:00,3.72,1.68,4.739999999999998,6.379999999999999,,61.0,13.0,724.8,,,14.5,0.399,16.26,4.7,158.0
2021-01-15 18:00:00,3.73,10.88,10.36,21.22,,69.0,10.0,724.0,,,41.6,0.017,17.57,11.9,120.0
