Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2023-01-01 00:00:00,1.67,4.1,30.3,34.5,9.0,118.0,94.12,718.4,0,45.0,3.3,0.0,17.65,4.9,236.0
2023-01-01 06:00:00,1.54,7.0,23.7,30.8,7.0,147.0,108.13,710.2,0,55.0,3.0,0.001000000000000001,14.55,3.399999999999999,307.0
2023-01-01 12:00:00,0.9,5.0,9.1,14.3,34.0,33.0,7.84,710.6,0,18.0,3.5,0.586,27.96,4.3,26.0
2023-01-01 18:00:00,1.18,3.2,16.5,19.8,68.0,55.0,29.78,708.2,0,24.0,22.9,0.01899999999999999,27.35,7.9,73.0
2023-01-02 00:00:00,2.17,3.8,30.3,34.2,7.0,67.0,37.55,708.2,0,54.0,4.5,0.001000000000000001,20.13,3.600000000000001,238.0
2023-01-02 06:00:00,1.3,5.3,25.5,31.0,7.0,73.0,40.94,707.4,0,60.0,4.7,0.001000000000000001,16.11,3.8,232.0
2023-01-02 12:00:00,1.27,11.2,23.7,35.1,25.0,91.0,21.12,708.3,0,27.0,5.3,0.4510000000000001,26.2,5.3,102.0
2023-01-02 18:00:00,1.24,5.1,25.2,30.5,27.0,55.0,14.81,705.9,0,27.0,4.0,0.03099999999999997,26.63,6.1,103.0
2023-01-03 00:00:00,1.52,33.40000000000001,38.7,72.4,10.0,120.0,31.03,707.7,0,30.0,9.0,0.001000000000000001,20.18,4.3,228.0
2023-01-03 06:00:00,0.98,4.6,21.1,25.9,7.999999999999996,82.0,19.0,708.9,0,27.0,8.1,0.001000000000000001,19.47,4.8,191.0
2023-01-03 12:00:00,1.16,19.5,27.1,46.7,20.0,151.0,22.55,710.2,0,21.0,18.7,0.601,23.52,8.4,82.0
2023-01-03 18:00:00,1.16,3.8,23.1,27.1,41.0,67.0,11.97,708.4,0,21.0,4.7,0.02099999999999999,25.31,9.0,75.0
2023-01-04 00:00:00,1.4,20.6,39.8,60.7,4.0,66.0,14.49,712.4,0,36.0,5.2,0.001000000000000001,16.95,2.600000000000001,26.0
2023-01-04 06:00:00,1.04,4.9,29.0,34.0,7.999999999999996,97.0,23.96,712.7,0,34.0,9.6,0.001000000000000001,15.33,4.2,245.0
2023-01-04 12:00:00,1.2,11.5,25.3,37.1,31.0,103.0,23.89,715.1,0,22.0,6.6,0.559,22.47,8.5,63.0
2023-01-04 18:00:00,1.07,3.6,18.0,21.8,47.0,72.0,12.28,713.3,0,25.0,4.6,0.01899999999999999,23.32,8.7,110.0
2023-01-05 00:00:00,1.06,3.3,20.2,23.7,22.0,70.0,20.908,715.8,0,42.0,4.3,0.001000000000000001,16.97,3.7,292.0
2023-01-05 06:00:00,1.14,3.5,27.1,30.8,9.0,80.0,26.714,716.1,0,53.0,3.8,0.001000000000000001,13.24,3.0,255.0
2023-01-05 12:00:00,1.72,29.2,54.89999999999999,84.3,22.0,150.0,48.968,717.4,0,27.0,12.9,0.555,23.17,6.3,49.00000000000001
2023-01-05 18:00:00,1.22,4.0,21.1,25.1,51.0,76.0,18.0,715.1,0,28.0,4.5,0.02099999999999999,23.96,8.8,72.0
2023-01-06 00:00:00,1.09,3.6,14.0,17.5,22.0,47.0,13.0,715.7,0,55.0,3.2,0.001000000000000001,19.52,4.2,65.0
2023-01-06 06:00:00,1.37,4.0,16.2,20.2,11.0,76.0,32.0,715.1,0,77.0,4.6,0.001000000000000001,15.52,4.2,326.0
2023-01-06 12:00:00,1.7,17.7,29.7,47.39999999999999,20.0,114.0,50.0,715.8,0,57.0,5.4,0.502,19.94,4.1,12.99999999999999
2023-01-06 18:00:00,1.2,3.899999999999999,13.3,17.2,39.0,69.0,41.0,712.9,0,41.0,3.5,0.02199999999999999,23.63,6.6,103.0
2023-01-07 00:00:00,1.67,15.4,45.4,60.8,4.0,82.0,44.0,713.7,0,56.0,5.7,0.001000000000000001,18.19,2.8,230.0
2023-01-07 06:00:00,1.33,18.1,29.4,47.39999999999999,3.0,115.0,42.0,712.2,0,76.0,3.4,0.001000000000000001,14.59,2.2,232.0
2023-01-07 12:00:00,1.73,15.9,33.3,49.2,24.0,173.0,47.06399999999999,714.0,0,47.0,5.3,0.528,22.44,5.3,73.0
2023-01-07 18:00:00,1.23,4.1,16.6,20.7,39.0,76.0,26.0,713.2,0,46.0,6.0,0.027,24.58,9.8,70.0
2023-01-08 00:00:00,1.28,3.5,19.9,23.7,11.0,59.0,14.82,715.6,0,66.0,3.3,0.001000000000000001,18.74,5.8,92.0
2023-01-08 06:00:00,1.15,3.3,12.1,15.6,18.0,51.0,16.922,715.7,0,65.0,3.0,0.001000000000000001,17.93,5.7,134.0
2023-01-08 12:00:00,0.9199999999999999,22.7,11.0,33.9,9.0,81.0,14.574,718.88,0,37.0,3.0,0.148,14.7,4.1,95.0
2023-01-08 18:00:00,1.14,3.0,14.8,18.0,32.0,45.0,23.06,715.3,0,48.0,3.3,0.034,20.74,7.7,89.0
2023-01-09 00:00:00,1.08,2.6,9.6,12.5,21.0,40.0,16.61,716.3,0,64.0,3.2,0.001000000000000001,17.85,4.5,74.0
2023-01-09 06:00:00,1.04,2.8,16.8,19.7,14.0,50.0,18.038,715.5,0,73.0,11.2,0.001000000000000001,15.7,5.3,4.0
2023-01-09 12:00:00,1.43,16.1,29.9,46.2,23.0,81.0,37.25,716.3,0,54.0,6.2,0.491,20.46,5.8,63.0
2023-01-09 18:00:00,1.26,4.6,19.8,24.7,25.0,57.0,17.49,714.3,0,53.0,3.3,0.01799999999999999,20.75,7.9,67.0
