Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2022-01-01 00:00:00,1.65341407678245,12.50122431132488,17.70925438596491,30.09565598946907,26.50423539901917,62.03559652928416,23.97427470534905,701.2517764298094,0.001312607944732297,53.35868625756266,6.432703296703297,0.1720176116838488,22.70536469572723,8.821632124352332,141.6012084592145
2022-01-01 06:00:00,1.98,16.0,29.7,45.7,4.0,88.0,49.0,694.6,0.0,39.0,5.8,0.0,20.02,1.5,256.0
2022-01-01 12:00:00,1.0,5.9,4.800000000000002,10.7,28.0,277.0,14.0,696.4,0.0,16.0,3.3,0.51,31.39,20.2,296.0
2022-01-01 18:00:00,1.14,6.800000000000001,13.5,20.3,30.0,26.0,12.0,695.4,0.0,9.0,3.4,0.01799999999999999,30.47,10.6,280.0
2022-01-02 00:00:00,2.45,58.8,31.0,89.8,3.0,69.0,36.0,698.2,0.0,24.0,5.7,0.0,21.36,2.1,268.0
2022-01-02 06:00:00,1.0,3.9,5.099999999999998,9.0,34.0,194.0,15.0,702.6,0.0,22.0,4.0,0.0,18.71,16.5,117.0
2022-01-02 12:00:00,1.11,8.9,9.9,18.9,24.0,68.0,15.0,709.8,0.0,36.0,7.4,0.511,11.2,9.7,104.0
2022-01-02 18:00:00,1.17,4.6,14.1,18.7,26.0,47.0,12.0,709.7,0.0,29.0,6.5,0.01099999999999998,11.36,11.3,114.0
2022-01-03 00:00:00,1.19,3.700000000000001,18.0,21.7,21.0,38.0,10.0,712.4,0.0,28.0,5.4,0.0,7.33,2.6,153.0
2022-01-03 06:00:00,1.25,12.6,27.5,40.2,5.0,38.0,16.0,711.3,0.0,40.0,4.9,0.0,4.449999999999999,4.9,308.0
2022-01-03 12:00:00,1.3,15.6,16.3,31.9,28.0,41.0,13.0,711.8,0.0,24.0,4.2,0.511,10.3,7.8,107.0
2022-01-03 18:00:00,1.24,6.800000000000001,20.1,26.9,29.0,42.0,10.0,707.9,0.0,6.000000000000007,4.2,0.01099999999999998,12.65,10.3,110.0
2022-01-04 00:00:00,1.32,6.500000000000001,27.2,33.7,12.0,47.0,21.0,707.4,0.0,9.0,5.6,0.0,8.59,3.9,284.0
2022-01-04 06:00:00,1.49,51.8,33.3,85.2,4.0,64.0,31.0,706.2,0.0,9.999999999999993,6.8,0.0,5.670000000000002,2.8,298.0
2022-01-04 12:00:00,1.59,22.1,31.7,53.8,25.0,81.0,37.0,705.1,0.0,22.0,6.8,0.489,15.69,3.1,117.0
2022-01-04 18:00:00,2.22,26.9,62.7,89.6,15.0,96.0,63.0,702.0,0.0,25.0,6.0,0.01300000000000001,18.5,4.0,171.0
2022-01-05 00:00:00,3.33,157.6,54.2,211.8,3.0,260.0,108.0,702.4,0.0,20.0,5.7,0.0,11.59,3.0,295.0
2022-01-05 06:00:00,1.68,33.5,36.5,70.0,3.0,127.0,47.0,700.9,0.0,30.0,7.5,0.0,11.0,1.9,231.0
2022-01-05 12:00:00,1.26,9.8,14.1,24.0,35.0,125.0,11.0,700.7,0.0,8.000000000000007,3.8,0.528,24.56,5.3,112.0
2022-01-05 18:00:00,1.55,6.7,28.0,34.7,44.0,56.0,19.0,698.1,0.0,19.0,5.5,0.01200000000000001,23.84,7.8,131.0
2022-01-06 00:00:00,2.34,87.6,60.2,147.8,3.0,156.0,55.0,699.8,0.0,36.0,6.2,0.0,15.44,4.0,264.0
2022-01-06 06:00:00,1.76,29.1,42.6,71.7,4.0,177.0,38.0,699.7,0.0,23.0,4.6,0.0,11.97,2.4,296.0
2022-01-06 12:00:00,1.28,7.9,9.7,17.5,47.0,61.0,11.0,701.2,0.0,9.0,4.0,0.525,25.4,1.9,39.0
2022-01-06 18:00:00,1.98,8.9,47.8,56.7,42.0,71.0,30.0,700.0,0.0,13.0,5.5,0.01499999999999999,24.55,6.3,150.0
2022-01-07 00:00:00,1.5,5.3,21.6,26.9,45.0,39.0,26.0,702.7,0.0,35.0,5.2,0.0,19.08,6.3,144.0
2022-01-07 06:00:00,1.32,4.299999999999999,18.8,23.2,20.0,44.0,22.0,703.1,0.0,68.0,5.5,0.0,12.8,6.6,132.0
2022-01-07 12:00:00,1.6,24.0,25.2,49.2,14.0,56.0,36.0,704.6,0.0,41.0,6.0,0.342,13.09,3.3,77.0
2022-01-07 18:00:00,2.0,27.9,44.5,72.4,6.0,84.0,61.0,701.5,0.0,42.0,6.6,0.01599999999999999,13.35,6.9,112.0
2022-01-08 00:00:00,2.03,46.9,33.7,80.6,3.0,89.0,68.0,701.8,0.0,83.0,7.0,0.0,11.03,1.2,76.0
2022-01-08 06:00:00,1.82,30.1,25.9,56.0,2.0,102.0,81.0,700.5,0.0,58.0,4.4,0.0,10.35,2.1,85.0
2022-01-08 12:00:00,2.22,27.0,43.7,70.7,26.0,149.0,118.0,701.9,0.0,28.0,20.8,0.46,18.45,1.7,113.0
2022-01-08 18:00:00,2.5,12.7,60.2,72.9,27.0,121.0,76.0,700.5,0.0,54.0,7.8,0.04100000000000001,21.48,2.9,124.0
2022-01-09 00:00:00,4.84,115.4,56.7,172.1,4.0,222.0,194.0,702.9,0.0,45.0,5.2,0.0,14.94,1.1,308.0
2022-01-09 06:00:00,2.13,29.7,33.0,62.7,5.400000000000002,102.0,55.0,703.1,0.0,56.0,4.9,0.0,13.17,2.8,259.0
2022-01-09 12:00:00,1.51,16.2,23.1,39.3,27.0,68.0,25.0,705.3,0.0,22.0,16.5,0.504,25.0,5.200000000000001,109.0
