Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2021-01-01 00:00:00,1.41,34.24,19.12,52.16,27.6,82.0,28.0,718.76,0.0,69.0,,0.0,8.18,5.8,113.0
2021-01-01 06:00:00,1.39,34.5,15.02,48.31999999999999,6.0,45.0,15.0,712.5,0.0,81.0,,0.0,4.239999999999998,1.400000000000001,81.0
2021-01-01 12:00:00,1.23,20.88,12.68,32.78,21.4,42.0,17.8,715.3,0.0,59.0,,0.405,10.06,7.8,76.0
2021-01-01 18:00:00,1.19,11.28,14.32,24.78,17.4,44.0,2.0,714.6,0.0,58.0,,0.013,10.89,4.1,130.0
2021-01-02 00:00:00,1.41,60.88,12.72,73.56,3.800000000000004,68.0,23.0,717.9,0.0,58.0,,0.0,10.91,3.7,235.0
2021-01-02 06:00:00,1.19,23.02,16.18,38.8,11.0,29.0,9.0,719.2,0.0,63.0,,0.0,6.650000000000002,4.200000000000001,33.0
2021-01-02 12:00:00,1.56,12.62,17.82,27.32,19.8,77.0,15.0,719.8,0.0,42.0,,0.392,15.13,4.700000000000001,113.0
2021-01-02 18:00:00,1.49,30.6,36.58,65.89999999999999,21.8,53.0,27.0,716.5,0.0,35.0,,0.035,17.42,6.1,124.0
2021-01-03 00:00:00,1.38,11.26,20.84,30.52,19.2,43.0,8.0,717.0,0.0,46.0,,0.0,11.81,2.4,17.0
2021-01-03 06:00:00,1.69,87.55999999999999,22.7,110.26,4.600000000000001,106.0,17.0,717.0,0.0,60.0,,0.0,8.410000000000002,3.6,273.0
2021-01-03 12:00:00,1.77,23.98,15.4,37.76,30.4,80.0,9.0,716.9,0.0,31.0,,0.391,18.95,7.2,266.0
2021-01-03 18:00:00,1.42,25.8,33.72,59.03999999999999,17.8,73.0,17.0,713.6,0.0,30.0,,0.034,21.27,6.0,147.0
2021-01-04 00:00:00,2.22,89.56,40.66,130.26,4.800000000000001,164.0,41.0,714.9,0.0,46.0,,0.0,13.71,4.3,247.0
2021-01-04 06:00:00,1.8,15.4,16.16,29.98,24.2,60.0,5.999999999999998,714.2,0.0,32.0,,0.0,14.09,12.7,262.0
2021-01-04 12:00:00,1.84,27.48,20.44,45.54,36.2,77.0,2.0,715.3,0.0,15.0,,0.423,24.01,6.4,273.0
2021-01-04 18:00:00,1.46,2.540000000000001,15.22,17.0,41.40000000000001,45.0,12.0,714.2,0.0,10.0,,0.044,26.01,7.0,131.0
2021-01-05 00:00:00,2.32,49.54000000000001,26.54,75.34,7.400000000000002,83.0,25.0,715.8,0.0,36.0,,0.0,15.71,1.9,277.0
2021-01-05 06:00:00,2.77,52.92,31.1,83.25999999999999,6.400000000000002,74.0,20.0,715.2,0.0,44.0,,0.0,12.86,4.700000000000001,253.0
2021-01-05 12:00:00,2.67,18.64,27.12,42.64,20.0,167.0,12.0,715.5,0.0,21.0,,0.406,22.14,7.1,67.0
2021-01-05 18:00:00,1.57,5.02,24.52,29.1,31.2,50.0,11.0,712.6,0.0,29.0,,0.032,22.79,7.1,117.0
2021-01-06 00:00:00,2.09,51.90000000000001,29.66,78.88,4.000000000000004,81.0,21.0,711.8,0.0,60.0,,0.0,17.43,4.8,36.0
2021-01-06 06:00:00,1.72,27.08,15.48,40.58,4.400000000000002,74.0,11.0,711.3,0.0,67.0,,0.0,14.25,3.2,262.0
2021-01-06 12:00:00,2.48,22.44,28.06,47.0,23.6,111.0,18.0,712.7,0.0,31.0,,0.249,22.41,5.2,66.0
2021-01-06 18:00:00,1.76,9.32,18.36,24.92,43.2,76.0,2.0,713.6,0.0,25.0,,0.028,20.61,10.3,51.0
2021-01-07 00:00:00,1.48,19.86,28.78,47.76,19.4,57.0,8.0,717.5,0.0,37.0,,0.0,13.99,4.1,67.0
2021-01-07 06:00:00,1.34,53.98,22.06,76.02,4.800000000000001,83.0,11.0,717.5,0.0,45.0,,0.0,11.6,5.1,256.0
2021-01-07 12:00:00,2.36,15.78,24.96,37.24,26.0,120.0,5.000000000000002,718.1,0.0,29.0,,0.408,19.17,7.9,96.0
2021-01-07 18:00:00,1.58,3.800000000000001,16.5,17.54,30.8,68.0,12.0,715.3,0.0,23.0,,0.03599999999999999,20.6,7.7,116.0
2021-01-08 00:00:00,1.46,19.7,20.42,39.31999999999999,22.6,44.0,12.0,716.8,0.0,24.0,,0.0,15.97,6.3,111.0
2021-01-08 06:00:00,1.4,53.88000000000001,28.28,82.14,7.199999999999999,75.0,11.0,717.4,0.0,36.0,,0.0,9.97,1.5,266.0
2021-01-08 12:00:00,2.18,11.98,18.26,27.08,28.0,89.0,17.0,719.2,0.0,29.0,,0.399,17.47,9.2,81.0
2021-01-08 18:00:00,1.61,3.76,17.42,18.38,31.4,61.0,15.0,716.8,0.0,34.0,,0.049,18.42,9.3,115.0
2021-01-09 00:00:00,1.8,6.080000000000002,11.82,15.48,25.2,58.0,5.000000000000002,718.5,0.0,66.0,,0.0,12.79,10.1,102.0
2021-01-09 06:00:00,1.49,15.36,12.92,26.7,15.4,34.0,14.0,717.3,0.0,87.0,,0.0,9.79,6.2,88.0
2021-01-09 12:00:00,1.5,17.52,9.32,25.22,16.0,38.0,5.000000000000002,718.4,0.01,90.0,,0.05300000000000001,9.720000000000002,8.6,80.0
2021-01-09 18:00:00,1.52,6.540000000000001,10.62,15.56,10.2,37.0,10.0,715.7,0.0,89.0,,0.002000000000000002,9.61,6.9,133.0
2021-01-10 00:00:00,1.53,21.62,11.66,31.66,12.4,54.0,16.0,715.3,0.01,91.0,,0.0,9.61,3.2,126.0
2021-01-10 06:00:00,1.37,18.28,13.7,30.4,5.400000000000002,38.0,7.0,713.2,0.0,92.0,,0.0,9.8,3.6,28.0
2021-01-10 12:00:00,1.43,29.44,8.94,37.16,24.2,60.0,9.6,715.6,0.0,73.0,,0.331,12.66,14.4,46.99999999999999
2021-01-10 18:00:00,1.25,24.1,10.84,34.1,22.2,42.0,5.999999999999998,717.4,0.0,73.0,,0.01499999999999999,9.54,16.6,37.0
2021-01-11 00:00:00,1.26,24.78,14.86,38.84,16.8,36.0,4.0,722.0,0.0,79.0,,0.0,7.07,6.1,66.0
2021-01-11 06:00:00,1.16,29.42,12.88,41.86,14.6,25.0,2.0,722.2,0.0,76.0,,0.0,4.73,9.9,49.0
2021-01-11 12:00:00,1.62,6.120000000000001,10.96,15.06,19.0,50.0,4.0,723.8,0.0,66.0,,0.108,5.300000000000001,8.2,41.00000000000001
2021-01-11 18:00:00,1.58,4.719999999999999,14.64,17.74,20.8,47.0,5.999999999999998,720.9,0.0,58.0,,0.007000000000000006,7.43,5.0,78.0
2021-01-12 00:00:00,1.45,10.04,11.74,20.52,27.4,58.0,17.0,722.6,0.0,73.0,,0.0,5.969999999999999,5.5,176.0
2021-01-12 06:00:00,1.26,31.22,16.56,46.98,18.8,46.0,4.0,721.3,0.0,65.0,,0.0,6.120000000000001,5.4,55.0
2021-01-12 12:00:00,1.79,10.78,16.82,24.82,17.0,76.0,15.0,722.8,0.0,58.0,,0.124,7.309999999999999,5.8,11.99999999999999
2021-01-12 18:00:00,1.96,26.8,21.8,46.64,27.2,93.0,26.0,720.4,0.0,53.0,,0.02200000000000001,8.790000000000001,4.5,98.0
2021-01-13 00:00:00,1.87,46.64,18.62,63.75999999999999,19.0,110.0,26.0,721.5,0.0,75.0,,0.0,5.5,2.5,30.0
2021-01-13 06:00:00,1.92,14.72,20.12,33.62,23.8,71.0,13.0,719.8,0.0,66.0,,0.0,6.52,8.3,246.0
2021-01-13 12:00:00,2.05,16.28,24.6,37.4,23.6,83.0,10.0,719.1,0.0,35.0,,0.419,17.15,6.3,46.99999999999999
2021-01-13 18:00:00,1.87,19.82,30.72,48.12,26.8,77.0,25.0,715.3,0.0,35.0,,0.042,19.17,6.2,155.0
2021-01-14 00:00:00,2.42,114.68,40.42,155.14,5.000000000000004,175.0,40.0,715.2,0.0,58.0,,0.0,11.68,2.5,282.0
2021-01-14 06:00:00,2.25,56.83999999999999,29.88,86.35999999999999,6.600000000000001,82.0,18.0,713.0,0.0,44.0,,0.0,10.85,4.3,261.0
2021-01-14 12:00:00,2.5,24.66,28.68,49.84,25.2,109.0,5.000000000000002,712.8,0.0,12.0,,0.427,25.23,10.5,11.00000000000001
2021-01-14 18:00:00,1.43,8.36,14.42,21.98,23.4,43.0,2.0,711.4,0.0,2.0,,0.074,27.48,10.1,340.0
2021-01-15 00:00:00,1.48,14.42,16.5,29.72,27.8,82.0,5.999999999999998,716.0,0.0,30.0,,0.0,16.18,10.7,39.0
2021-01-15 06:00:00,1.35,39.26000000000001,34.78,72.82,10.6,108.0,5.999999999999998,716.7,0.0,35.0,,0.0,12.79,6.9,29.0
2021-01-15 12:00:00,1.72,11.28,21.9,30.04,20.0,104.0,5.999999999999998,718.3,0.0,28.0,,0.418,16.0,7.7,92.0
2021-01-15 18:00:00,1.59,3.800000000000001,16.5,17.54,35.6,73.0,14.0,716.1,0.0,24.0,,0.05700000000000001,17.38,8.2,109.0
2021-01-16 00:00:00,1.58,37.34,21.94,59.23999999999999,18.8,52.0,8.0,718.6,0.0,30.0,,0.0,11.95,4.0,204.0
2021-01-16 06:00:00,1.67,59.0,25.78,84.38000000000001,6.600000000000001,100.0,20.0,717.8,0.0,43.0,,0.0,7.41,3.2,267.0
2021-01-16 12:00:00,2.27,19.36,26.74,42.59999999999999,20.2,137.0,14.0,717.1,0.0,23.0,,0.414,16.84,6.5,60.0
2021-01-16 18:00:00,1.65,6.259999999999998,24.66,28.52,24.4,62.0,13.0,712.6,0.0,27.0,,0.047,19.45,8.0,117.0
2021-01-17 00:00:00,2.25,40.22,27.98,66.64,4.400000000000002,119.0,48.0,712.2,0.0,44.0,,0.0,12.64,3.5,36.0
2021-01-17 06:00:00,2.12,40.72,29.16,68.72,18.0,79.0,16.0,713.9,0.0,48.0,,0.0,10.88,10.9,250.0
2021-01-17 12:00:00,1.9,15.84,25.24,37.58,25.6,91.0,7.0,716.0,0.0,25.0,,0.418,20.34,6.0,50.0
2021-01-17 18:00:00,1.38,5.02,24.52,29.1,34.40000000000001,46.0,8.0,714.3,0.0,26.0,,0.06100000000000001,21.93,8.0,121.0
2021-01-18 00:00:00,1.42,53.10000000000001,25.08,77.77999999999999,5.200000000000003,74.0,15.0,715.2,0.0,43.0,,0.0,14.39,2.3,275.0
2021-01-18 06:00:00,1.98,57.06,33.88,90.56,4.199999999999999,86.0,19.0,714.0,0.0,54.0,,0.0,10.85,5.7,262.0
2021-01-18 12:00:00,2.52,19.44,26.38,42.72,23.0,137.0,16.0,713.6,0.0,29.0,,0.422,20.79,6.5,67.0
