Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2024-01-01 00:00:00,8.25,158.8,50.9,209.7,17.6,98.39999999999999,84.4,723.0,0,63.0,5.8,0.0,15.25,4.3,286.0
2024-01-01 06:00:00,3.17,65.8,33.3,99.1,11.4,250.0,70.8,723.0,0,56.0,4.6,0.0,14.38,3.4,273.0
2024-01-01 12:00:00,1.14,12.4,12.0,24.5,33.0,61.0,24.0,724.4,0,41.0,5.3,0.177,21.11,8.6,317.0
2024-01-01 18:00:00,1.06,4.9,7.1,12.0,39.0,36.0,15.0,723.9,0,55.0,4.2,0.015,21.44,9.6,107.0
2024-01-02 00:00:00,1.09,5.9,9.4,15.3,31.0,43.0,19.0,724.0,0,74.0,2.9,0.0,16.38,6.5,169.0
2024-01-02 06:00:00,1.13,14.9,12.1,27.0,15.0,38.0,17.0,723.4,0,90.0,2.6,0.001000000000000001,14.78,5.5,152.0
2024-01-02 12:00:00,1.23,9.5,8.6,18.1,16.0,27.0,15.0,723.3,0,91.0,2.8,0.07,15.13,1.7,71.0
2024-01-02 18:00:00,1.26,5.3,13.7,19.0,19.0,46.0,26.0,722.1,0,84.0,2.7,0.01000000000000001,17.02,1.9,50.99999999999999
2024-01-03 00:00:00,1.47,38.1,16.6,54.7,11.0,83.0,37.0,722.9,0,88.0,2.9,0.0,13.38,5.4,326.0
2024-01-03 06:00:00,0.98,2.9,4.819999999999999,7.720000000000001,20.0,25.99999999999999,15.0,723.4,0,86.0,2.9,0.0,11.96,5.6,324.0
2024-01-03 12:00:00,1.07,8.6,9.8,18.4,38.0,54.0,19.0,724.0,0,56.0,3.3,0.092,17.71,8.7,337.0
2024-01-03 18:00:00,1.37,15.1,27.9,43.1,28.0,39.0,23.0,723.2,0,55.0,7.1,0.019,18.42,9.6,136.0
2024-01-04 00:00:00,1.15,8.1,18.4,26.5,27.0,65.0,23.0,723.6,0,66.0,2.9,0.0,13.47,4.8,173.0
2024-01-04 06:00:00,0.93,2.6,5.9,8.6,22.0,36.0,20.0,723.1,0,84.0,6.3,0.0,9.18,7.0,115.0
2024-01-04 12:00:00,1.46,24.4,18.2,42.6,20.0,33.0,10.0,722.8,0,88.0,2.9,0.047,9.620000000000001,5.9,154.0
