CO (ppm),NO (ppb),NO2 (ppb),O3 (ppb),SR (kW/m2),Year
2.997796472857866,6.197456229340021,15.557893808643243,21.471358224373763,0.4111742467996777,2021
2.5644248887927836,5.93638265606596,15.468607635729452,20.47113617010619,0.46962283711257946,2021
2.3779484225050456,9.03608296287853,20.128685021573865,24.95107195101721,0.5751461460998212,2021
1.1495865109765642,10.596394051825678,19.624481245576785,26.14196563814867,0.2408733608465001,2021
0.8871931820144583,11.015728903073827,18.74091260872543,26.694370372046027,0.17234263287215124,2021
1.3381066147699658,11.849603572830782,18.19355856334041,23.919460768271776,0.1949309350969815,2021
1.6366085519279239,12.562492704890005,15.691696459146632,18.804048055316773,0.17886864686804663,2021
1.9590725806451612,12.406774193548387,15.318198924731183,20.5752688172043,0.191130376344086,2021
2.3801111111111113,10.792333333333334,18.161055555555553,23.508861111111113,0.1773611111111111,2021
2.818826293863408,20.690584102739464,22.439384631189643,21.065338377897422,0.14549364686804664,2021
1.2613476220876751,17.49358849627012,17.807286801132342,16.776160082593112,0.10222474973538902,2021
1.6210665662214392,26.746625194726246,24.522962810766384,18.36831116439699,0.10902492814469542,2021
1.8698230932993305,24.61222394287799,19.725647174666694,10.536862940050082,0.09727178759426819,2022
1.8652328239548248,13.749990381252186,17.555020532057178,11.792070287018916,0.13299055351809916,2022
2.0059000650604744,11.034880165258173,15.492707723815096,23.064629363676534,0.1792832754693957,2022
2.033537870819849,8.984300318681745,11.059129234120018,22.764803082191783,0.1661160374709651,2022
2.204752688172043,8.63478494623656,11.398951612903225,22.288978494623656,0.1838561827956989,2022
1.8455777777777778,9.453888888888889,8.78438888888889,20.481666666666666,0.22021527777777777,2022
1.7159153738460622,8.96736486740608,8.13956471746667,18.914949734865225,0.21743846908200745,2022
1.8499838709677419,8.778064516129032,8.314731182795699,17.420161290322582,0.19134543010752686,2022
2.006615330752042,9.685054807430726,10.875189096937781,17.92072583713851,0.17318086249585216,2022
2.154252688172043,11.458655913978495,15.296102150537633,21.747580645161293,0.1300215053763441,2022
0.9832723281707505,17.59424850375034,16.717655971653336,19.45839611872146,0.09713116943614876,2022
1.123458487129584,27.932820408669848,26.171140388959145,16.263397591692446,0.0965170201492482,2022
1.4513426563196148,26.215054885863992,29.63768119551447,20.189957222277705,0.11042091801852197,2023
1.6570372578241432,20.64175856929955,25.02011922503726,21.2354694485842,0.14122205663189272,2023
1.722026368025216,15.170651895829101,21.06197426986102,23.262055161623223,0.13195561563801356,2023
1.3530144506287363,10.802598961978074,18.481364186380763,23.39985036119711,0.13790797848426462,2023
1.3210210515291159,10.495695613896476,19.41979972945981,25.278886614068377,0.164112127851327,2023
1.3796693293479008,11.648519717232979,17.271210778981988,27.81108187134503,0.15810218208092486,2023
1.3391854838709678,11.484408602150538,13.9125,35.086559139784946,0.18909408602150538,2023
1.6470806451612905,10.484623655913978,15.15010752688172,38.93709677419355,0.1677271505376344,2023
1.4169048168762455,11.654514468807507,17.460343617682476,35.60245012039904,0.1972771965317919,2023
1.5493243606998652,16.92826379542396,20.526917900403767,24.035262449528936,0.11558008075370121,2023
2.043588888888889,20.318583333333333,21.958055555555553,22.517222222222223,0.09618472222222223,2023
2.3587573496651837,30.76310539992124,25.452241135391642,20.78194097673025,0.09008949126732549,2023
2.6715725806451616,29.761424731182796,25.650806451612905,23.631451612903223,0.10802688172043011,2024
2.9167298850574714,21.196063218390805,25.35795977011494,27.76264367816092,0.13277586206896552,2024
2.9940946911945647,13.169629485760774,19.551939552557975,26.18324141370675,0.15727338389510342,2024
3.113656895420761,11.846716671989864,19.693701624017855,23.491387061177363,0.15823276406570397,2024
3.7628295707840724,7.105992248767079,17.437761745889365,17.204683196407963,0.1702214072328206,2024
3.1929002084484983,9.500298304354637,14.816131031066266,12.903486857313805,0.18891314704535042,2024
1.777644288637458,12.130017489540382,14.812458442620159,14.641928542195519,0.1626843989971382,2024
1.5121102150537635,10.91529569892473,14.978387096774194,19.475268817204302,0.18746370967741938,2024
0.9493140293900867,12.7210651498538,17.376695546038825,21.93964933572662,0.15263128085712832,2024
1.0588738576383316,20.34789620851524,22.724347234365204,21.377299109228414,0.14208530359227461,2024
0.9333784031232725,21.99161713528613,21.85608753764324,20.34768279416364,0.11420055224716241,2024
1.085,27.48524193548387,21.181344086021504,17.13010752688172,0.09494086021505375,2024
1.5722045760430685,17.600080753701214,14.191009421265141,21.379811574697175,0.09598384925975774,2025
1.5063717367408629,29.327428799690967,21.854579736078318,20.370108074795574,0.1068976121374949,2025
0.6554960139094311,36.474210428105785,19.263589312926154,27.447761599847738,0.16049479219562132,2025
0.7813080127324357,50.49672107505735,22.66046309687787,25.690060325476992,0.17555738236204627,2025
0.5545806451612904,50.17577956989247,23.015698924731183,18.89301075268817,0.16828494623655915,2025
1.0962665063662178,35.010916093084234,19.66338432621671,18.36600238496072,0.18469605229213423,2025
