Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (¼C),WSR (km/h),WDR (azimutal)
2025-01-01 00:00:00,1.1,3.7,24.7,28.4,23,137,63,,,,4.4,,17.78,8.4,
2025-01-01 06:00:00,1.05,6.6,29.4,36,12,55,27,715.9,0,78,3.8,0,14.17,4.8,22
2025-01-01 12:00:00,0.77,6,13.5,19.5,42,50,25,718.5,0,54,3.7,0.282,19.42,6.8,48
2025-01-01 18:00:00,0.78,3.6,21.3,24.9,32,46,19,717,0,61,3.8,0.016,18.09,9,111
2025-01-02 00:00:00,0.79,3.3,19.6,22.8,25,39,18,718.6,0,79,4,0,14.43,5,89
2025-01-02 06:00:00,0.79,17.2,20.2,37.5,10,42,21,718,0,85,3.7,0,13.43,5.2,25
2025-01-02 12:00:00,1.53,51.7,36.8,88.5,10,101,48,719,0,70,4.2,0.247,18.3,5.8,43
2025-01-02 18:00:00,1.06,4.7,39.6,44.3,34,74,32,716.6,0,60,3.9,0.031,20.22,6.3,102
2025-01-03 00:00:00,1.12,24.8,47.4,72,2,59,18,719,0,81,3.7,0,15.57,1.6,246
2025-01-03 06:00:00,1.42,125.5,36.3,161.9,2,130,48,718.6,0,85,4.4,0,13.07,1.7,344
2025-01-03 12:00:00,1.64,75.6,50.6,126.2,8,146,39.4,720.8,0,69,4.4,0.107,18.58,6.1,20
2025-01-03 18:00:00,0.93,4.8,32.7,37.5,30,72,23,718.3,0,66,3.5,0.022,19.63,8.4,118
2025-01-04 00:00:00,0.83,4.9,21.8,26.8,13,26,8,718.4,0,84,3.6,0,17.26,5.7,96
2025-01-04 06:00:00,0.84,10.7,20.2,30.9,6,27,18,716.1,0,85,3.5,0,17.11,2.5,109
2025-01-04 12:00:00,1.39,62.4,32.4,94.8,9,84,23,715.9,0,71,4.1,0.162,19.88,7,25
2025-01-04 18:00:00,1.01,8.3,34,42.3,25,69,22,711.9,0,53,3.7,0.047,24.21,5.6,71
2025-01-05 00:00:00,3.06,124.2,57.3,181.5,3,103,51,711.3,0,75,4.6,0,18.37,2.4,286
2025-01-05 06:00:00,1.32,50.5,32.7,83.2,2,90,45,709.8,0,83,4.6,0,15.29,4.4,251
2025-01-05 12:00:00,1.09,14.6,30,44.6,34,74,14,710.5,0,22,3.9,0.355,30.48,7.8,342
2025-01-05 18:00:00,0.9,16.4,24.4,40.8,28,46,9,711.2,0,27,3.6,0.034,25.07,13,20
2025-01-06 00:00:00,0.74,9.6,22.8,32.4,26,38,2,716.1,0,28,3.5,0,18.76,10.1,32
2025-01-06 06:00:00,0.62,21.7,20.1,41.8,17,13,4,719.4,0,35,3.5,0,11,11.5,6
2025-01-06 12:00:00,0.86,51.5,22.5,74,14,50,7,721.7,0,30,3.8,0.353,12.56,10.1,33
2025-01-06 18:00:00,0.91,8.4,32.5,40.9,27,51,9,718.2,0,32,4,0.057,14.54,10.6,101
2025-01-07 00:00:00,0.71,3.3,25,28.3,27,7,3,720.5,0,30,3.8,0,9.26,9.5,105
2025-01-07 06:00:00,0.8,10.7,32.5,43.1,17,17,5.2,720,0,41,4.7,0,4.98,6.8,76
2025-01-07 12:00:00,,,,,,63.47428571,22.36225266,,,,,0,,,
2025-01-07 18:00:00,1.08,7.2,35.2,42.3,27,35,10.2,719.2,0,34,4.3,0.018,9.03,10.6,98
2025-01-08 00:00:00,0.76,5.8,25.1,30.9,22,18,8.2,722,0,41,4.3,0,7.03,8,70
2025-01-08 06:00:00,0.81,21.5,26.1,47.6,21,10,4.2,722.7,0,85,4,0,3.25,9.3,25
2025-01-08 12:00:00,1.32,79.3,40.6,119.9,10,16,9,724.5,0.01,87,4.3,0.044,4.02,7.4,29
2025-01-08 18:00:00,1.46,71.2,42.2,113.4,7,24,16,720.8,0,88,4.3,0.004,4.45,7.4,31
2025-01-09 00:00:00,0.77,4.1,16.9,21,17,3,2,719.5,0,89,3.8,0,3.21,8.1,117
2025-01-09 06:00:00,0.9,41.3,29.9,71.2,9,3,3.8,715.1,0.01,,3.9,0,3.31,5.2,39
2025-01-09 12:00:00,1.58,94.6,38.1,132.7,4,49,34,712.8,0,89,4.7,0.102,5.71,5.3,49
2025-01-09 18:00:00,1.35,63.5,25.5,89,5,21,10,710,0.01,88,4.5,0.003,5.56,9.4,25
2025-01-10 00:00:00,0.88,21.5,20.3,41.8,7,11,3,713.3,0,89,4,0,4.68,7,29
2025-01-10 06:00:00,1.01,22.2,20.2,42.4,14,16,6,715.1,0,84,4,0,6.21,14.1,15
2025-01-10 12:00:00,1.09,58.5,30,88.6,12,75,34,718.3,0,64,4.3,0.046,6.4,13,2
2025-01-10 18:00:00,1.45,84.1,39.6,123.8,8,66,12,717,0,52,4.3,0.01,8.86,10.1,3
2025-01-11 00:00:00,0.86,29.5,32.3,61.7,10,55,5,719.8,0,55,4,0,6.91,7.1,43
2025-01-11 06:00:00,0.84,15.3,39.8,55.1,3,14,11,717.2,0,63,4.1,0,6.46,4.8,229
2025-01-11 12:00:00,1,24.7,26.5,51.2,20,96,25,715.3,0,49,4.1,0.336,11.38,6.9,153
2025-01-11 18:00:00,0.89,6.4,27.7,34.1,28,38,13,710.5,0,48,4,0.059,12.65,7.7,112
2025-01-12 00:00:00,1.26,31.2,40.4,71.6,3,58,21,710,0,69,4.4,0,7.91,3.5,49
2025-01-12 06:00:00,1.5,73.2,38.5,111.7,2,79,39,707.9,0,72,4.7,0,7.26,3.4,9
2025-01-12 12:00:00,1.12,30.8,26.4,57.2,18,129,27,711.9,0,39,4.4,0.315,18.86,9.8,21
2025-01-12 18:00:00,1.03,29.7,35.1,64.7,21,26,5,712,0,26,3.9,0.059,19.83,8.5,25
2025-01-13 00:00:00,0.76,10,27.6,37.6,22,43,3,716.2,0,42,4,0,12.41,6.6,52
2025-01-13 06:00:00,0.7,29.8,45.2,75,4,63,19.8,718.1,0,52,4.2,0,9.64,3.2,60
2025-01-13 12:00:00,0.97,44.2,32.2,76.4,23,70,2,720.9,0,43,4.3,0.267,13.22,8.6,
2025-01-13 18:00:00,0.98,6.4,41,47.3,41,51,11,718.1,0,36,4.7,0.058,16.37,8.2,103
2025-01-14 00:00:00,0.75,2.8,29.9,32.7,31,23,7,720.2,0,42,4.4,0,12.29,6.6,102
2025-01-14 06:00:00,0.95,72.4,51.3,123.7,4,59,10,719.4,0,62,4.3,0,9.81,5.4,30
2025-01-14 12:00:00,1.34,57.2,54.1,111.2,17,49.6,24,721,0,53,5.6,0.166,13.11,6.2,38
2025-01-14 18:00:00,1.13,18.5,63.1,81.4,12,70,24,718.7,0,51,4.5,0.026,13.89,4.9,100
2025-01-15 00:00:00,1.13,25.5,47.6,73,3,69,19,720.5,0,71,4.8,0,11.55,4.7,56
2025-01-15 06:00:00,1,54.2,48.5,102.8,1,71,33,719.8,0,71,4.6,0,11.69,5.3,286
2025-01-15 12:00:00,1.36,93.1,45,138.2,8,123,18,722.2,0,55,5,0.124,14.18,7.8,25
2025-01-15 18:00:00,1.33,59.5,42.3,101.9,10,63,5,721.2,0,70,4.5,0.015,13.64,9.2,18
2025-01-16 00:00:00,0.82,17.2,30.7,47.8,16,44,9,723.7,0,78,4.1,0,12.01,6.1,36
2025-01-16 06:00:00,0.84,31,40.1,71.1,8,23,4,722.4,0,80,4,0,12.16,3.6,342
2025-01-16 12:00:00,1.12,25.7,37.4,63.1,15,63,14,722.7,0,66,4.4,0.096,13.41,7.5,108
2025-01-16 18:00:00,0.99,9.2,37.4,46.5,18,52,21,719.1,0,59,4.1,0.031,14.26,5.7,144
2025-01-17 00:00:00,1.23,45.6,40.5,86,2,37,12.4,718,0,76,4.1,0,11.44,5.2,225
2025-01-17 06:00:00,1.12,66.4,40.2,106.6,2,96,23,714.1,0,78,4.8,0,9.9,4.4,249
2025-01-17 12:00:00,1.7,85.1,58.2,143.4,7,149,46,712.8,0,52,4.9,0.223,17.98,3.8,292
2025-01-17 18:00:00,1.69,30.8,65.1,95.8,17,142,33,709.2,0,45,4.7,0.049,22.31,7.5,75
2025-01-18 00:00:00,3.36,187.6,81.8,269.1,3,265,65,710.5,0,67,5.9,0,15.85,3.9,244
2025-01-18 06:00:00,2.48,206.4,53.8,260.1,,185,49,709.3,0,71,5.6,0,14.49,4.2,269
2025-01-18 12:00:00,1,37.4,33.6,70.9,22,137,19,713.1,0,23,4.3,0.346,24.19,9.4,50
2025-01-18 18:00:00,0.79,4,27.9,31.9,45,106,18,710.7,0,25,3.9,0.067,24.63,8.7,113
2025-01-19 00:00:00,1.79,73.5,65.6,139.1,4,150,30,714.6,0,33,4.4,0,18.36,3.4,38
2025-01-19 06:00:00,0.69,8.1,12.7,20.8,29,45,14,719.1,0,48,3.9,0,10.75,16.9,22
2025-01-19 12:00:00,0.82,24,17.2,41.2,20,41,17.2,724,0,45,3.8,0.12,7.48,10,27
2025-01-19 18:00:00,0.77,6.8,24.4,31.2,23,25,9,720.3,0,39,4,0.029,9.17,6.3,98
2025-01-20 00:00:00,0.93,4.8,24.9,29.7,25,35,8,720.4,0,45,4.7,0,6.89,10,86
2025-01-20 06:00:00,0.71,18.4,27.7,46.1,17,19,3,718.9,0,50,4.3,0,3.89,7.7,68
2025-01-20 12:00:00,0.81,16.6,19.4,35.9,30,27,13.2,719.5,0,37,4.1,0.356,8.83,8.8,103
2025-01-20 18:00:00,0.95,21.7,36,57.7,18,41,4,716.3,0,45,4,0.083,10.02,10,76
2025-01-21 00:00:00,0.7,16.2,18.8,35,18,175,11,720.2,0,70,4,0,3.84,13.1,25
2025-01-21 06:00:00,0.69,20.9,17.2,38.1,17,3,3.8,724.8,0,86,3.9,0,0.44,14.4,19
2025-01-21 12:00:00,1.02,63.7,29.7,93,13,68,7,729.3,0,69,4.2,0.04,1.66,11.8,8
2025-01-21 18:00:00,1.16,62,37.1,99.1,10,31,14,727.3,0,64,4.2,0.015,1.99,8.4,37
2025-01-22 00:00:00,0.69,3.4,21.6,25,18,24,11,726.9,0,72,3.9,0,0.32,5.6,140
2025-01-22 06:00:00,0.87,78.9,42.7,121.6,2,48,16,722.9,0,78,4.3,0,-0.97,2.6,47
2025-01-22 12:00:00,1.71,109.9,55.6,165.5,9,82,48,721.4,0,46,4.9,0.358,9.75,6.2,12
2025-01-22 18:00:00,1,13.7,40.2,53.8,26,41,12,717.3,0,33,4.3,0.092,14.5,7.4,78
2025-01-23 00:00:00,1.17,47.6,50.1,97.6,2,61,10,719,0,52,4.3,0,7.6,2.6,30
2025-01-23 06:00:00,1.19,111.6,43.9,155.6,,82,31,720.2,0,66,5,0,4.72,3,253
2025-01-23 12:00:00,1.03,44.4,31.8,76.1,21,96,27.4,722.9,0,39,4.6,0.295,12.65,9.8,53
2025-01-23 18:00:00,1.2,52.7,45,97.7,20,42,4,720.6,0,32,4.2,0.062,14.68,7,45
2025-01-24 00:00:00,0.83,17.5,34.5,51.9,24,49,6,724.9,0,31,4.2,0,9.49,8.2,4
2025-01-24 06:00:00,1.21,135.2,59.2,194.4,2,88,28,724.3,0,51,4.7,0,5.78,3.5,270
2025-01-24 12:00:00,0.98,35.4,35.9,71.2,29,68,18,724.7,0,24,4.7,0.378,13.23,7.8,66
2025-01-24 18:00:00,0.92,9.2,40.9,50,38,54,7,720.1,0,28,4.1,0.078,15.4,11,103
2025-01-25 00:00:00,0.88,11.7,38.7,50.4,24,34,12,719.8,0,38,4,0,9.85,4.6,91
2025-01-25 06:00:00,1.04,59.2,55.6,114.9,2,64,19,716.6,0,52,4.4,0,6.11,1.8,274
2025-01-25 12:00:00,1.47,54.8,63.9,118.7,21,68,39,716.4,0,29,4.7,0.371,17.06,5.4,18
2025-01-25 18:00:00,0.96,4.2,29.2,33.4,48,53,8,713.7,0,28,4.2,0.093,24.57,6.8,121
2025-01-26 00:00:00,2.92,111.3,66.5,177.7,2,167,66,715.8,0,62,6.3,0,16.44,5.6,35
2025-01-26 06:00:00,1.24,26,38.6,64.5,1,73,34,715.1,0,86,4.7,0,13.58,3.4,266
2025-01-26 12:00:00,1.36,22.8,44.9,67.6,28,90,43,716.5,0,41,4.3,0.346,22.87,5.4,63
2025-01-26 18:00:00,1.09,4.4,34.2,38.6,58,54,18,714.2,0,35,4.4,0.09,26.5,6,79
2025-01-27 00:00:00,1.03,15.4,39.4,54.7,12,58,8,716.2,0,56,4,0,19.14,5.8,39
2025-01-27 06:00:00,0.95,50.7,37.8,88.5,8,73,11,715.4,0,63,3.9,0,16.28,6.8,40
2025-01-27 12:00:00,1.46,76.9,40.2,117.1,8,102,22,717.7,0,75,4.3,0.058,14.95,7.8,34
2025-01-27 18:00:00,1.66,99.4,40.3,139.8,4,95,19,715.5,0,69,4.4,0.01,15.66,9.3,28
2025-01-28 00:00:00,0.91,18.6,17,35.5,4,23,3,716.1,0.01,87,4,0,12.33,6.4,60
2025-01-28 06:00:00,0.93,48.9,16.2,65.2,1,8,3,714.1,0,89,3.9,0,11.63,3.6,60
2025-01-28 12:00:00,1.74,89.1,24.7,113.8,3,43,19,715.1,0,,4.5,0.073,12.67,4.6,70
2025-01-28 18:00:00,1.51,45.2,33.3,78.5,2,95,37,712.5,0,80,4.5,0.008,13.75,5.6,73
2025-01-29 00:00:00,1.22,41.7,27.2,68.9,2,77,20,713.3,0,84,4.3,0,13.17,4.3,44
2025-01-29 06:00:00,1.12,74.1,26.1,100.3,1,18,14,711.2,0,88,4.2,0,12.79,2.2,33
2025-01-29 12:00:00,1.31,41.8,33.6,75.4,7,74,31,711.5,0,77,4.4,0.196,17.25,4.3,238
