Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (¼C),WSR (km/h),WDR (azimutal)
2020-01-01 00:00:00,,,,,,69,62,711.14,0,47.8,,0,25.626,6.92,216.2
2020-01-01 06:00:00,0.46,0.5,,,,46,11,713.6,0.04,93,19.3,0,11.73,3.2,248
2020-01-01 12:00:00,0.75,0.6,,,,54,,713.6,0.03,88,18.8,0.074,14.44,5.9,258
2020-01-01 18:00:00,0.28,,,,,9,,711.2,0.03,79,15.4,0.006,14.82,9.5,305
2020-01-02 00:00:00,0.12,,,,,5,4,709.9,0.01,78,16.4,0,14.16,7.4,228
2020-01-02 06:00:00,0.14,,,,,3,,706.7,0,71,14.7,0,14.02,6,241
2020-01-02 12:00:00,0.78,,,,,39,4,705.7,0,49,18,0.435,22.2,10.7,161
2020-01-02 18:00:00,0.57,,,,,35,,704.5,0,58,16.2,0.055,21.9,7.5,126
2020-01-03 00:00:00,1.68,,,,,131,46,707.6,0,65,19.6,0,16.25,4.6,237
2020-01-03 06:00:00,0.34,,,,,13,,710.2,0,34,13.3,0,18.65,13.5,340
2020-01-03 12:00:00,0.27,,,,,45,2,714.8,0,33,10.8,0.434,19.79,19.6,330
2020-01-03 18:00:00,0.25,0.5,,,,22,8,715.9,0,25,10.4,0.068,20.06,11.8,318
2020-01-04 00:00:00,0.34,,,,,37,21,720.7,0,37,12.4,0,14.57,5.1,21
2020-01-04 06:00:00,0.43,,,,,53,24,722.7,0,59,16.6,0,9.88,1.8,268
2020-01-04 12:00:00,0.27,,,,,56,11,723.8,0,28,20.9,0.414,18.89,5.4,241
2020-01-04 18:00:00,0.34,0.5,,,,35,13,721.4,0,30,13,0.06,19.82,7,127
2020-01-05 00:00:00,0.83,,,,,31,27,722.5,0,46,18.8,0,14.2,2.7,10
2020-01-05 06:00:00,0.48,,,,,76,29,722,0,61,19.4,0,10.14,3.8,256
2020-01-05 12:00:00,0.91,,,,,67,18,722.3,0,28,17.6,0.402,21.11,4.6,175
2020-01-05 18:00:00,0.35,0.5,,,,22,,718.3,0,28,13.5,0.066,22.75,7,120
2020-01-06 00:00:00,2.21,,,,,154,72,718.4,0,53,20.2,0,14.22,1.9,259
2020-01-06 06:00:00,0.57,,,,,122,39,715.8,0,50,19.3,0,13.22,4.5,262
2020-01-06 12:00:00,1.54,,,,,96,24,716,0,24,15.8,0.41,24.12,5,60
2020-01-06 18:00:00,0.89,0.6,,,,60,,714.6,0,24,14.4,0.047,25.26,6,79
2020-01-07 00:00:00,0.4,0.5,,,,35,14,719.7,0,34,14.9,0,18.03,2.4,206
2020-01-07 06:00:00,0.29,,,,,37,7,721.3,0,27,12.6,0,15.77,10.2,39
2020-01-07 12:00:00,0.58,,,,,63,,723.8,0,28,12.2,0.411,17.99,9.3,37
2020-01-07 18:00:00,0.58,0.5,,,,68,13,721.2,0,35,20.8,0.065,18.69,10.2,108
2020-01-08 00:00:00,0.19,,,,,45,20,721.6,0,63,18.8,0,13.79,2.9,249
2020-01-08 06:00:00,0.33,,,,,29,,719.4,0,71,16.3,0,12.61,5.9,55
2020-01-08 12:00:00,0.84,,,,,78,21,718.7,0,59,14.4,0.406,17.51,8.1,73
2020-01-08 18:00:00,0.56,0.6,,,,45,5,715.1,0,57,19,0.028,19.31,6.3,114
2020-01-09 00:00:00,0.46,,,,,45,27,714.4,0,84,16.2,0,16.57,4.4,96
2020-01-09 06:00:00,0.37,,,,,40,19,712.7,0,87,16.8,0,14.26,3.1,242
2020-01-09 12:00:00,1.7,,,,,155,65,713.5,0,63,23.6,0.209,19.51,4.4,206
2020-01-09 18:00:00,0.88,0.7,,,,97,32,711,0,53,21.7,0.042,22.77,4.7,133
2020-01-10 00:00:00,1.69,,,,,100,31,711.3,0,70,22.3,0,18.66,2.5,55
2020-01-10 06:00:00,0.67,,,,,48,39,709.2,0,86,19,0,14.81,3.2,4
2020-01-10 12:00:00,1.13,,,,,98,51,708.8,0,69,16.6,0.242,19.92,5.3,66
2020-01-10 18:00:00,1.47,0.8,,,,111,39,704.6,0,55,17.8,0.03,24.45,5.1,53
2020-01-11 00:00:00,0.88,0.6,,,,140,6,710.9,0,33,15.1,0,20.09,17.2,29
2020-01-11 06:00:00,0.09,0.5,,,,36,6,714.8,0,28,15.7,0,15.21,4.6,106
2020-01-11 12:00:00,0.3,,,,,77,,717.9,0,15,14.8,0.422,21.07,13,316
2020-01-11 18:00:00,0.19,0.5,,,,24,,715.5,0,16,13.1,0.073,21.89,8,127
2020-01-12 00:00:00,0.57,0.5,,,,21,6,717.2,0,28,14.1,0,15.59,4.9,137
2020-01-12 06:00:00,0.28,,,,,24,7,715.9,0,43,15.1,0,10.46,4.1,24
2020-01-12 12:00:00,0.72,,,,,55,4,716.7,0,37,13.3,0.407,17.42,5.6,24
2020-01-12 18:00:00,0.57,0.5,,,,38,23,714.6,0,31,12.6,0.057,20.9,4.3,97
2020-01-13 00:00:00,1.77,0.5,,,,92,44,715.9,0,54,17.5,0,17.33,3.2,62
2020-01-13 06:00:00,0.75,0.5,,,,66,28,715.4,0,67,17.7,0,14.82,2.8,341
2020-01-13 12:00:00,1.19,0.5,,,,104,16,716.8,0,52,19.1,0.224,19.68,4.1,311
2020-01-13 18:00:00,1.49,0.6,,,,78,24,714.9,0,40,15.5,0.028,22.67,5.4,21
2020-01-14 00:00:00,2.56,,,,,185,59,715.8,0,60,25.4,0,17.59,3.7,254
2020-01-14 06:00:00,1.12,0.5,,,,128,49,715.1,0,66,29,0,15.01,4,248
2020-01-14 12:00:00,1.8,0.5,,,,127,61,716.3,0,44,23.6,0.364,23.82,6,69
2020-01-14 18:00:00,1.25,0.7,,,,106,20,713,0,47,19.4,0.035,25.64,6.9,85
2020-01-15 00:00:00,2.68,,,,,186,71,713.9,0,67,24.6,0,20.58,1.9,269
2020-01-15 06:00:00,0.97,,,,,114,57,713.2,0,82,23.8,0,18.08,1.4,259
2020-01-15 12:00:00,1.7,0.7,,,,104,63,714.7,0,85,22.2,0.074,19.59,5.4,46.4
2020-01-15 18:00:00,1.51,0.8,,,,112,88,713.4,0,65,18.7,0.03,22.85,4.9,327
2020-01-16 00:00:00,3.83,,,,,182,97,715.1,0,78,29.3,0,19.77,2.7,313
2020-01-16 06:00:00,0.53,,,,,21,8,715.4,0,89,20.1,0,19.7,3.4,109
2020-01-16 12:00:00,0.7,,,,,22,,717.7,0,89,24.4,0.061,19.66,8.6,126
2020-01-16 18:00:00,0.81,,,,,55,28,715.6,0,63,22.4,0.009,23.15,4.1,169
2020-01-17 00:00:00,0.47,,,,27,24,17,717,0,83,46,0,20.44,8.3,124
2020-01-17 06:00:00,0.37,,,,26,4,,715.8,0.01,90,27,0,19.24,8.7,130
2020-01-17 12:00:00,0.76,,,,35,33,8,716.7,0,86,24.2,0.084,19.73,7.3,102
2020-01-17 18:00:00,1.05,0.6,,,30,22,4,719.4,0,59,14.6,0.008,12.51,5.2,35
