Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (¼C),WSR (km/h),WDR (azimutal)
2023-01-01 00:00:00,4.48,73,49.8,122.9,14,228,188,712.1,7.10543E-15,54,4.5,-3.55271E-15,18.16,5.5,221
2023-01-01 06:00:00,2.38,29.3,35.1,64.3,8,217,86,711.1,7.10543E-15,60,4.3,-3.55271E-15,15.65,6.6,217
2023-01-01 12:00:00,2.93,9.8,45.2,54.9,55,101,74,711.9,7.10543E-15,27,10.2,0.329,27.78,4.1,12
2023-01-01 18:00:00,1.19,3.3,32.2,35.5,84,73,55,709,7.10543E-15,24,69.6,0.035,29.03,8.6,93
2023-01-02 00:00:00,1.59,33.8,37.2,71,7,81,28,709.1,7.10543E-15,58,4.2,-3.55271E-15,21.02,6,10
2023-01-02 06:00:00,1.12,23.8,27.1,50.9,7,97,33,708.1,7.10543E-15,81,3,-3.55271E-15,16.89,0.1,144
2023-01-02 12:00:00,1.21,20.4,34.1,54.5,24,131,34,709.2,7.10543E-15,31,6.4,0.282,27.99,2.4,111
2023-01-02 18:00:00,1.1,5.8,39.7,45.4,25,67,21,706.4,7.10543E-15,26,6.9,0.028,28.07,5,163
2023-01-03 00:00:00,4.1,269.1,50.8,319.9,10,118,38,708.4,7.10543E-15,43,5.5,-3.55271E-15,19.69,1,309
2023-01-03 06:00:00,0.67,9,11.7,20.7,21,68,4,709.6,7.10543E-15,21,2.6,-3.55271E-15,23.98,13.5,307
2023-01-03 12:00:00,1.02,32.6,26.4,59.1,23,138,17,711.5,7.10543E-15,21,2.9,0.336,24.75,6.8,42
2023-01-03 18:00:00,0.98,5.4,33.8,39.2,38,74,28,709.3,7.10543E-15,21,7.7,0.051,26.65,8.1,90
2023-01-04 00:00:00,1.2,47.2,45.4,92.7,8,77,6,713.7,7.10543E-15,34,4.9,-3.55271E-15,18.34,1.4,272
2023-01-04 06:00:00,1.32,54.8,37.1,92,8,213,28,714,7.10543E-15,40,4.2,-3.55271E-15,15.49,4.5,233
2023-01-04 12:00:00,1.12,23.6,36.7,60.2,30,110,35,717,7.10543E-15,23,5.5,0.323,24.2,7.6,51
2023-01-04 18:00:00,0.88,4.1,25.5,29.6,46,70,27,714.8,7.10543E-15,26,6.5,0.05,24.89,7.9,108
2023-01-05 00:00:00,0.98,4.5,26.6,31.2,27,105,13,717.6,7.10543E-15,40,3.7,-3.55271E-15,19.03,5.8,98
2023-01-05 06:00:00,1.1,36.5,40.4,76.9,8,96,25,717.9,7.10543E-15,56,3.6,-3.55271E-15,13.78,3.3,247
2023-01-05 12:00:00,1.59,37.1,50.3,87.4,28,210,57,719.6,7.10543E-15,30,8.2,0.325,23.74,6.5,38
2023-01-05 18:00:00,1.05,4.6,35,39.6,45,91,29,716.9,7.10543E-15,27,4.6,0.051,25.75,7.5,98
2023-01-06 00:00:00,1.06,10.2,26.9,37.1,17,55,9,717.7,7.10543E-15,61,3.1,-3.55271E-15,19.56,5.9,57
2023-01-06 06:00:00,1.26,9.8,22.8,32.6,12,76,32,716.8,7.10543E-15,79,2.7,-3.55271E-15,16.46,5.3,261
2023-01-06 12:00:00,1.61,35.7,35.2,70.8,21,114,35,717.7,7.10543E-15,58,3,0.308,21.32,5.6,10
2023-01-06 18:00:00,1.05,5.4,24.7,30.1,29,65,19,714.4,7.10543E-15,42,2.9,0.051,25.27,7.9,99
2023-01-07 00:00:00,2.28,90.7,45.9,136.7,8,159,44,715.2,7.10543E-15,61,3.5,-3.55271E-15,20.19,6.6,19
2023-01-07 06:00:00,1.37,33.6,31,64.6,7,116,38,713.6,7.10543E-15,86,2.6,-3.55271E-15,16.36,4.4,327
2023-01-07 12:00:00,1.25,28.8,30.5,59.3,24,130,35,715.6,7.10543E-15,51,3.4,0.317,24.03,6.5,13
2023-01-07 18:00:00,1.02,4.5,25,29.5,37,72,36,714.6,7.10543E-15,45,7.5,0.043,26.06,8,98
2023-01-08 00:00:00,1.06,12.4,21.3,33.7,18,63,16.8,717.3,7.10543E-15,66,2.7,-3.55271E-15,19.72,8.7,13
2023-01-08 06:00:00,1,8.8,16,24.7,21,55,22,717.5,7.10543E-15,64,2.7,-3.55271E-15,19,6.3,357
2023-01-08 12:00:00,1.07,23.4,20.3,43.6,21,60,12,719.5,7.10543E-15,46,3.1,0.161,20.4,7.9,9
2023-01-08 18:00:00,0.96,3.5,19.5,23,33,49,18,716.9,7.10543E-15,49,3.3,0.033,21.79,7.4,104
2023-01-09 00:00:00,0.9,3.7,19.8,23.5,23,38,6,718.2,7.10543E-15,60,3.3,-3.55271E-15,19.13,6.6,93
2023-01-09 06:00:00,0.96,23.4,25.5,49,14,45,15,717.3,7.10543E-15,75,4.9,-3.55271E-15,16.43,6.2,36
2023-01-09 12:00:00,1.56,28.4,47.3,75.6,26,136,42,718.2,7.10543E-15,56,9.1,0.266,21.46,0.9,266
2023-01-09 18:00:00,1,5.9,23.9,29.9,28,60,24,715.9,7.10543E-15,53,4.6,0.018,21.74,7.1,107
2023-01-10 00:00:00,1.26,39.2,38.3,77.5,9,101,12,717,7.10543E-15,69,10.9,-3.55271E-15,18.04,1.3,31
2023-01-10 06:00:00,1.5,81.7,33.6,115.4,8.8,151,32,716.2,7.10543E-15,79,3.5,-3.55271E-15,14.88,4.2,240
2023-01-10 12:00:00,2.17,41.9,67.8,109.6,26,222,72,716.6,7.10543E-15,44,7.7,0.317,24.65,1.8,33
2023-01-10 18:00:00,1.12,4.3,35.1,39.4,52,86,25,713.2,7.10543E-15,29,3.6,0.054,27.79,8.5,112
2023-01-11 00:00:00,1.79,65.3,54.1,119.4,8,71,12,713.9,7.10543E-15,47,4.3,-3.55271E-15,21.13,0.3,23
2023-01-11 06:00:00,1.58,43.6,48.9,92.5,10.4,127,30,712.6,7.10543E-15,54,3.6,-3.55271E-15,16.19,2.5,223
2023-01-11 12:00:00,2.91,71.8,82.9,154.7,23,162,61,713.3,7.10543E-15,28,7.3,0.334,27.16,6.4,13
2023-01-11 18:00:00,1.07,4.9,42.6,47.5,44,101,18,710.3,7.10543E-15,20,4.7,0.059,30.09,7.9,107
2023-01-12 00:00:00,2,100.2,73.4,173.5,15.8,208,30,712,7.10543E-15,30,6.1,-3.55271E-15,21.42,3.6,218
2023-01-12 06:00:00,1.3,35.4,44.4,79.8,11,145,31,713.9,7.10543E-15,32,7,-3.55271E-15,20.15,4.6,356
2023-01-12 12:00:00,0.98,33.1,24.9,58,29,131,15,721.1,7.10543E-15,7,2.7,0.336,22.82,17.3,17
2023-01-12 18:00:00,1.19,45.9,36.2,82.1,20,47,12,719.7,7.10543E-15,14,3.9,0.07,22.16,13.1,23
2023-01-13 00:00:00,4.2,31.7,35.9,18,34,14,723.2,0,31,2.8,0.001,13.98,6.6,327,
2023-01-13 06:00:00,3.8,67.6,71.4,16,25,2,723.6,0,40,2.3,0.001,11.12,4.7,311,
2023-01-13 12:00:00,6.8,32.2,39,25,45,13,722.6,0,27,3.3,0.548,17.41,3.6,359,
2023-01-13 18:00:00,4.1,17.9,22,33,47,11,720.1,0,27,9.8,0.002,16.66,10.6,148,
2023-01-14 00:00:00,3.6,17.7,21.3,22,29,9,720,0,41,2.8,0.001,10.83,6.3,140,
2023-01-14 06:00:00,9.3,123.1,132.5,6,29,14,718.9,0,57,2.5,0.001,6.56,1.3,278,
2023-01-14 12:00:00,12.9,37.6,50.5,19,76,30,717.6,0,25,4.2,0.548,18.79,4.1,336,
2023-01-14 18:00:00,5,35.8,40.8,20,46,10,715,0,33,3,0.003,18.18,5.8,159,
2023-01-15 00:00:00,4.1,84.2,88.3,13,37,8,714,0,54,2.6,0.001,11.84,1.1,185,
