Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (¼C),WSR (km/h),WDR (azimutal)
2022-01-14 06:00:00,1.2,30.3,49.7,79.9,7.4,114,30,714,0,50,7.2,0,12.69,5.5,234
2022-01-14 12:00:00,2.14,54.5,71.6,126.1,27,162,64,713.1,0,22,19.3,0.337,24.33,6,12
2022-01-14 18:00:00,1.04,7,55.7,62.5,47,70,14,708.5,0,25,7.8,0.053,26.4,6.7,76
2022-01-15 00:00:00,2.81,112.3,83.6,195.8,7,183,61,709.7,0,39,9.1,0,18.46,5.2,248
2022-01-15 06:00:00,0.53,11.3,16,27.2,30,169,21,711.6,0,24,5.7,0,19.82,21.7,7
2022-01-15 12:00:00,0.8,37.6,21.1,58.7,27,422,17,719,0,25,4.9,0.331,16.07,24.8,2
2022-01-15 18:00:00,0.88,23.4,23.5,46.8,24,146,8,717.3,0,18,9.8,0.032,16.87,15.4,346
2022-01-16 00:00:00,0.68,9.5,35.9,45.3,8,155,16,720.2,0,24,5,0,10.95,3.1,257
2022-01-16 06:00:00,0.87,65.5,37.6,103,5,96,11,719.1,0,33,5.6,0,7.12,1.6,346
2022-01-16 12:00:00,0.6,14.1,20.3,34.4,32,98,21,719.2,0,18,9.3,0.351,15.55,6.6,95
2022-01-16 18:00:00,0.54,4.9,20.7,25.6,38,84,17,714.8,0,19,5,0.061,18.39,8.5,99
2022-01-17 00:00:00,1.82,96.6,46.9,143.7,7,120,40,715.6,0,32,6.5,0,11.41,3.9,19
2022-01-17 06:00:00,1.38,69.1,40.6,109.7,5,142,40,715.2,0,37,9.3,0,8.69,4.2,244
2022-01-17 12:00:00,1.81,75.1,65.3,140.4,20,171,55,716.4,0,12,13.8,0.369,21.89,6.7,17
2022-01-17 18:00:00,0.68,5.3,36.8,42,54,82,23,713.8,0,14,10.1,0.063,22.63,10.3,90
2022-01-18 00:00:00,0.77,21.3,32.9,54.1,15,73,25,714.8,0,54,6,0,13.99,7.1,28
2022-01-18 06:00:00,1.07,85.4,40.8,126.2,5,93,20,712.9,0,65,6,0,9.95,2.9,281
2022-01-18 12:00:00,1.24,32,51.3,83.3,30,212,54,713.3,0,20,8.9,0.351,21.34,6.6,65
2022-01-18 18:00:00,0.85,5.1,43.3,48.4,63,108,23,710.4,0,21,8.3,0.057,25.18,8.2,78
2022-01-19 00:00:00,3.13,136.8,84.7,221.3,8,225,48,711.8,0,36,16.8,0,17.12,5.8,236
